analysis             sr                        o         b         db              s                  ds               s95obs         s95exp         robscons          rexpcons           
atlas_conf_2013_089  SR1OF                     87.0      103.0     15.0            0.0                28.7085380277    24.0           31.0           0                 0                  
atlas_conf_2013_089  SR1OFOS                   81.0      92.0      13.0            0.0                28.7085380277    25.0           30.0           0                 0                  
atlas_conf_2013_089  SR1SF                     102.0     117.0     16.0            0.110689703        20.3000868212    28.0           35.0           0                 0                  
atlas_conf_2013_089  SR1SFOS                   91.0      112.0     16.0            0.110689703        20.3000868212    24.0           33.0           0                 0                  
atlas_conf_2013_089  SR2OF                     8.0       10.1      2.7             0.0                28.7085380277    7.1            8.4            0                 0                  
atlas_conf_2013_089  SR2OFOS                   8.0       9.8       2.7             0.0                28.7085380277    7.3            8.3            0                 0                  
atlas_conf_2013_089  SR2SF                     8.0       11.0      2.8             0.0                28.7085380277    6.7            8.5            0                 0                  
atlas_conf_2013_089  SR2SFOS                   7.0       10.3      2.6             0.0                28.7085380277    6.1            8.2            0                 0                  
atlas_conf_2015_004  M1                        539.0     578.0     48.4148737476   0.0                28.7085380277    73.0           96.0           0                 0                  
cms_1303_2985        23j_0b_275                6232.0    6235.0    85.1146285899   0.0                16.5463162718    226.150990935  230.865893313  0                 0                  
cms_1303_2985        23j_0b_325                2904.0    2900.0    57.0788927713   0.0                16.5463162718    158.942840569  156.780716566  0                 0                  
cms_1303_2985        23j_0b_375                1965.0    1955.0    36.5855162599   0.0                16.5463162718    122.928139116  116.473189895  0                 0                  
cms_1303_2985        23j_0b_475                552.0     558.0     14.5086181285   0.0                16.5463162718    52.2546387094  55.7136082092  0                 0                  
cms_1303_2985        23j_0b_575                177.0     186.0     10.5118980208   0.0                16.5463162718    28.3154336942  34.9463802938  0                 0                  
cms_1303_2985        23j_0b_675                58.0      51.3      3.60555127546   0.0                16.5463162718    22.534179886   16.9242003185  0                 0                  
cms_1303_2985        23j_0b_775                16.0      21.2      2.25055548699   0.0                16.5463162718    7.7162070414   11.2543929791  0                 0                  
cms_1303_2985        23j_0b_875                25.0      16.1      1.7             0.0                16.5463162718    18.5452114016  10.1155768023  0                 0                  
cms_1303_2985        23j_1b_275                1164.0    1162.0    33.2415402772   0.0                16.5463162718    97.7251270732  96.5991481282  0                 0                  
cms_1303_2985        23j_1b_325                473.0     481.0     18.5067555233   0.0                16.5463162718    51.2011513063  58.9160706343  0                 0                  
cms_1303_2985        23j_1b_375                329.0     341.0     15.5080624193   0.0                16.5463162718    39.5273074827  49.3011620183  0                 0                  
cms_1303_2985        23j_1b_475                95.0      86.7      4.94974746831   0.0                16.5463162718    28.8152614319  21.7922333318  0                 0                  
cms_1303_2985        23j_1b_575                23.0      24.8      2.7504545079    0.0                16.5463162718    10.8946983494  12.1872642996  0                 0                  
cms_1303_2985        23j_1b_675                8.0       7.2       1.05118980208   0.0                16.5463162718    7.6165742426   6.8636030083   0                 0                  
cms_1303_2985        23j_1b_775                4.0       3.3       0.7             0.0                16.5463162718    6.1063271337   5.2664384025   0                 0                  
cms_1303_2985        23j_1b_875                1.0       2.1       0.5             0.0                16.5463162718    3.5318768614   4.2841584921   0                 0                  
cms_1303_2985        23j_2b_275                222.0     224.0     14.5086181285   0.0                16.5463162718    40.7796793391  42.6093619538  0                 0                  
cms_1303_2985        23j_2b_325                107.0     98.2      7.46726188104   0.0                16.5463162718    32.1310627518  25.4122119496  0                 0                  
cms_1303_2985        23j_2b_375                58.0      59.0      5.61426753905   0.0                16.5463162718    19.186236591   19.6842134577  0                 0                  
cms_1303_2985        23j_2b_475                12.0      12.8      1.6             0.0                16.5463162718    8.3843137572   8.6552468577   0                 0                  
cms_1303_2985        23j_2b_575                5.0       3.0       0.80622577483   0.0                16.5463162718    7.3844283706   5.1689429178   0                 0                  
